CANTATA name,CANTATA code,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,,url
Platynereis_dumerilii,PDU,130417,exact,Platynereis dumerilii,130417,Platynereis dumerilii,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,,dumerilii,,,
Daphnia_pulex,DPU,148375,exact,Daphnia pulex,148375,Daphnia pulex,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,,pulex,,,
Acanthoeca_spectabilis,ASP,105548,exact,Acanthoeca spectabilis,105548,Acanthoeca spectabilis,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Acanthoeca,,spectabilis,,,
Helgoeca_nana,HNA,580086,exact,Helgoeca nana,580086,Helgoeca nana,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Helgoeca,,nana,,,
Salpingoeca_infusionum,SIN,105667,exact,Salpingoeca infusionum,105667,Salpingoeca infusionum,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Salpingoecidae,Salpingoeca,,infusionum,,,
Branchiostoma_floridae,BFL,266208,exact,Branchiostoma floridae,266208,Branchiostoma floridae,Animalia,Chordata,Leptocardii,,Branchiostomatidae,Branchiostoma,,floridae,,,
Danio_rerio,DRE,1026595,exact,Danio rerio,1026595,Danio rerio,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Danio,,rerio,,,
Actinia_tenebrosa,ATN,283309,exact,Actinia tenebrosa,283309,Actinia tenebrosa,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,,tenebrosa,,,
Anemonia_sulcata,ASU,231858,exact,Anemonia sulcata,231858,Anemonia sulcata,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,,sulcata,,,
Anemonia_viridis,AVI,100808,exact,Anemonia viridis,100808,Anemonia viridis,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,,viridis,,,
Anthopleura_dowii,ADO,283346,exact,Anthopleura dowii,283346,Anthopleura dowii,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,,dowii,,,
Anthopleura_elegantissima,AEL,283347,exact,Anthopleura elegantissima,283347,Anthopleura elegantissima,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,,elegantissima,,,
Aulactinia_veratra,AVE,283379,exact,Aulactinia veratra,283379,Aulactinia veratra,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Aulactinia,,veratra,,,
Calliactis_polypus,CPO,220515,exact,Calliactis polypus,220515,Calliactis polypus,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Calliactis,,polypus,,,
Condylactis_gigantea,CGI,283419,exact,Condylactis gigantea,283419,Condylactis gigantea,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,,gigantea,,,
Edwardsiella_carnea,ECA,151541,exact,Edwardsiella carnea,151541,Edwardsiella carnea,Animalia,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Edwardsiella,,carnea,,,
Entacmaea_quadricolor,EQU,289898,exact,Entacmaea quadricolor,289898,Entacmaea quadricolor,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Entacmaea,,quadricolor,,,
