species_name	Complete_BUSCOs	Complete_&_single-copy	Complete_&_duplicated	Fragmented	Missing	Total
Abeoforma_whisleri	655	632	23	38	261	954
Acanthoeca_spectabilis	687	465	222	40	227	954
Acropora_aculeus	925	714	211	7	22	954
Acropora_cervicornis	939	509	430	6	9	954
Acropora_digitifera	934	632	302	6	14	954
Acropora_millepora	865	696	169	49	40	954
Acropora_tenuis	917	684	233	10	27	954
Actinia_tenebrosa	905	783	122	18	31	954
Aegina_citrea	662	637	25	136	156	954
Agaricia_lamarcki	869	661	208	49	36	954
Alcyonium_palmatum	836	729	107	55	63	954
Alveopora_japonica	923	639	284	11	20	954
Amoebidium_parasiticum	744	624	120	31	179	954
Amphidiscella_abyssalis	361	332	29	192	401	954
Amphimedon_queenslandica	868	498	370	20	66	954
Anemonia_sulcata	913	760	153	15	26	954
Anemonia_viridis	878	722	156	34	42	954
Anthopleura_dowii	880	804	76	28	46	954
Anthopleura_elegantissima	930	776	154	7	17	954
Antipathes_caribbeana	901	731	170	21	32	954
Aplysina_aerophoba	834	510	324	26	94	954
Apolemia_lanosa	788	752	36	55	111	954
Atolla_vanhoeffeni	635	605	30	125	194	954
Aulacoctena_acuminata	748	697	51	33	173	954
Aulactinia_veratra	874	801	73	33	47	954
Aulocalyx_serialis	739	512	227	70	145	954
Aurelia_aurita	912	685	227	8	34	954
Axinella_polypoides	858	664	194	31	65	954
Baikalospongia_bacillifera	851	692	159	19	84	954
Bargmannia_amoena	758	718	40	69	127	954
Bargmannia_elongata	902	808	94	9	43	954
Bargmannia_lata	615	573	42	108	231	954
Bathocyroe_fosteri	800	708	92	12	142	954
Bathyctena_chuni	751	696	55	44	159	954
Beroe_abyssicola	790	704	86	15	149	954
Beroe_forskalii	789	667	122	18	147	954
Beroe_ovata	784	585	199	20	150	954
Bolinopsis_microptera	800	759	41	12	142	954
Bolosoma_cyanae	679	568	111	84	191	954
Branchiostoma_floridae	582	532	50	212	160	954
Calliactis_polypus	914	802	112	16	24	954
Calvadosia_campanulata	803	715	88	75	76	954
Calvadosia_cruxmelitensis	900	743	157	10	44	954
Capsaspora_owczarzaki	671	563	108	22	261	954
Caulophacus_discohexaster	710	526	184	63	181	954
Cestum_veneris	799	725	74	15	140	954
Charistephane_fugiens	623	588	35	107	224	954
Chaunoplectella_NIWA126325	673	431	242	106	175	954
Chelophyes_appendiculata	867	622	245	33	54	954
Chironex_fleckeri	799	742	57	56	99	954
Chondrosia_reniformis	837	652	185	16	101	954
Chrysaora_fuscescens	593	582	11	168	193	954
Chuniphyes_multidentata	846	744	102	37	71	954
Cinachyrella_alloclada	890	520	370	34	30	954
Clathrina_coriacea	628	525	103	181	145	954
Clavularia_sp	786	718	68	91	77	954
Cliona_varians	852	635	217	32	70	954
Coelastrea_aspera	930	667	263	8	16	954
Condylactis_gigantea	920	712	208	6	28	954
Copula_sivickisi	911	321	590	14	29	954
Corallium_rubrum	902	754	148	9	43	954
Corbitella_NIWA126123	270	247	23	194	490	954
Corticium_candelabrum	891	755	136	16	47	954
Corynactis_australis	911	707	204	14	29	954
Craseoa_lathetica	896	781	115	14	44	954
Craterolophus_convolvulus	706	520	186	144	104	954
Crella_elegans	763	599	164	82	109	954
Ctenactis_echinata	822	787	35	84	48	954
Ctenophora_sp_BWRF2014	796	736	60	23	135	954
Ctenophora_sp_CWRF2014	801	727	74	16	137	954
Ctenophora_sp_KWRF2015	818	769	49	12	124	954
Ctenophora_sp_L1WRF2015	821	608	213	16	117	954
Ctenophora_sp_L2WRF2015	795	724	71	19	140	954
Ctenophora_sp_MWRF2015	805	730	75	17	132	954
Ctenophora_sp_N1WRF2014	797	728	69	16	141	954
Ctenophora_sp_N2WRF2014	800	722	78	13	141	954
Ctenophora_sp_PWRF2015	812	687	125	18	124	954
Ctenophora_sp_TWRF2014	785	718	67	19	150	954
Ctenophora_sp_WWRF2014	791	688	103	25	138	954
Ctenophora_sp_XWRF2015	788	718	70	21	145	954
Cyanea_capillata	704	666	38	139	111	954
Cyanea_nozakii	887	787	100	14	53	954
Cymbastella_concentrica	876	734	142	23	55	954
Cyphastrea_serailia	791	445	346	102	61	954
Danio_rerio	934	889	45	7	13	954
Daphnia_pulex	904	650	254	7	43	954
Deiopea_kaloktenota	792	730	62	21	141	954
Dendrilla_antarctica	802	649	153	57	95	954
Dendronephthya_gigantea	897	658	239	11	46	954
Dendrophyllia_sp	916	771	145	10	28	954
Desmophyes_sp	894	804	90	16	44	954
Dipsastraea_rotumana	926	690	236	10	18	954
Dryodora_glandiformis	792	713	79	18	144	954
Dysidea_avara	880	538	342	14	60	954
Edwardsiella_carnea	933	617	316	5	16	954
Entacmaea_quadricolor	922	738	184	8	24	954
Ephydatia_fluviatilis	847	594	253	9	98	954
Ephydatia_muelleri	850	641	209	19	85	954
