species_name	Complete_BUSCOs	Complete_&_single-copy	Complete_&_duplicated	Fragmented	Missing	Total
Capsaspora_owczarzaki	716	466	250	23	215	954
Plakina_jani	896	346	550	20	38	954
Hormiphora_californensis	794	213	581	19	141	954
Acropora_aculeus	929	215	714	11	14	954
Corticium_candelabrum	901	229	672	15	38	954
Liriope_tetraphylla	914	117	797	14	26	954
Gorgonia_ventalina	922	132	790	10	22	954
Sarcothelia_ACCTACAT	902	235	667	17	35	954
Charistephane_fugiens	586	469	117	137	231	954
Mycale_cecilia	886	183	703	35	33	954
Plumapathes_pennacea	927	353	574	8	19	954
Erenna_richardi	890	617	273	18	46	954
Pseudospongosorites_suberitoides	319	280	39	248	387	954
Lubomirskia_abietina	876	287	589	17	61	954
Clathrina_coriacea	609	395	214	194	151	954
Bargmannia_amoena	745	553	192	90	119	954
Lubomirskia_baikalensis	874	222	652	20	60	954
Millepora_alcicornis	914	433	481	14	26	954
Stomolophus_meleagris	771	545	226	97	86	954
Clavularia_sp	789	469	320	102	63	954
Aulacoctena_acuminata	745	499	246	36	173	954
Antipathes_caribbeana	908	417	491	29	17	954
Turritopsis_sp	748	288	460	56	150	954
Euplokamis_dunlapae	812	455	357	19	123	954
Chrysaora_fuscescens	559	485	74	215	180	954
Amoebidium_parasiticum	760	454	306	25	169	954
Geodia_macandrewii	715	312	403	140	99	954
Aegina_citrea	638	432	206	160	156	954
Oscarella_pearsei	879	189	690	19	56	954
Petrosia_ficiformis_ASG	894	216	678	22	38	954
Tedania_anhelans	836	238	598	39	79	954
Siderastrea_siderea	927	210	717	6	21	954
Strongylocentrotus_purpuratus	936	128	808	9	9	954
Coelastrea_aspera	933	253	680	7	14	954
Resomia_ornicephala	895	453	442	22	37	954
Beroe_forskalii	787	247	540	24	143	954
Corynactis_australis	922	235	687	16	16	954
Geodia_hentscheli	755	179	576	114	85	954
Calliactis_polypus	920	489	431	19	15	954
Cinachyrella_alloclada	871	294	577	51	32	954
Eurete_NIWA126276	730	448	282	60	164	954
Bargmannia_lata	603	436	167	151	200	954
Edwardsiella_carnea	939	357	582	3	12	954
Acropora_cervicornis	936	243	693	8	10	954
Ctenophora_sp_L2WRF2015	796	428	368	20	138	954
Ctenophora_sp_CWRF2014	809	291	518	15	130	954
Bathocyroe_fosteri	807	464	343	11	136	954
Pelagia_noctiluca	914	359	555	10	30	954
Chondrosia_reniformis_ASG	867	196	671	17	70	954
Thalassocalyce_inconstans	786	427	359	30	138	954
Ichthyosporea_XGB-2017a	717	492	225	40	197	954
Palythoa_caribaeorum	899	504	395	24	31	954
Ctenophora_sp_PWRF2015	821	433	388	13	120	954
Xenoturbella_bocki	887	284	603	20	47	954
Palythoa_variabilis	844	534	310	53	57	954
Rossellidae_NIWA126310	553	416	137	160	241	954
Eucidaris_tribuloides	353	205	148	251	350	954
Aulocalyx_serialis	623	425	198	158	173	954
Calvadosia_campanulata	803	592	211	83	68	954
Marrus_claudanielis	855	416	439	39	60	954
Dendronephthya_gigantea	918	133	785	6	30	954
Ctenophora_sp_WWRF2014	791	368	423	29	134	954
Ocyropsis_maculata	759	418	341	50	145	954
Agaricia_lamarcki	850	426	424	67	37	954
Lobata_sp_VWRF2014	804	461	343	16	134	954
Aulactinia_veratra	892	553	339	34	28	954
Acanthoeca_spectabilis	712	213	499	31	211	954
Ptychodera_flava	951	88	863	0	3	954
Trichoplax_adherens	915	273	642	5	34	954
Desmophyes_sp	897	479	418	21	36	954
Tripedalia_cystophora	913	414	499	9	32	954
Hippopodius_hippopus	907	283	624	12	35	954
Rhodactis_indosinensis	925	311	614	8	21	954
ERR3026434	727	599	128	136	91	954
Lobactis_scutaria	844	391	453	74	36	954
Haliclystus_auricula	643	385	258	178	133	954
GW35555_Concat	886	251	635	38	30	954
Hydra_oligactis	910	316	594	11	33	954
Sycon_ciliatum_Helgoland	818	586	232	42	94	954
Ctenophora_sp_XWRF2015	793	448	345	22	139	954
Craseoa_lathetica	901	215	686	18	35	954
Corallium_rubrum	923	230	693	6	25	954
Cyanea_nozakii	897	513	384	20	37	954
Cymbastella_concentrica	884	382	502	23	47	954
Branchiostoma_floridae	518	171	347	274	162	954
Hoilungia_hongkongensis	913	144	769	10	31	954
Tubastraea_coccinea	941	198	743	7	6	954
