species_name	Complete_BUSCOs	Complete_&_single-copy	Complete_&_duplicated	Fragmented	Missing	Total
Abeoforma_whisleri	651	623	28	49	254	954
Acanthoeca_spectabilis	698	473	225	47	209	954
Acropora_aculeus	928	716	212	9	17	954
Acropora_cervicornis	942	473	469	7	5	954
Acropora_digitifera	936	592	344	7	11	954
Acropora_millepora	867	696	171	57	30	954
Acropora_tenuis	924	680	244	11	19	954
Actinia_tenebrosa	906	788	118	22	26	954
Aegina_citrea	656	617	39	150	148	954
Agaricia_lamarcki	879	662	217	47	28	954
Alcyonium_palmatum	829	724	105	69	56	954
Alveopora_japonica	926	628	298	15	13	954
Amoebidium_parasiticum	740	615	125	32	182	954
Amphidiscella_abyssalis	329	299	30	231	394	954
Amphimedon_queenslandica	873	470	403	27	54	954
Anemonia_sulcata	919	750	169	20	15	954
Anemonia_viridis	881	717	164	40	33	954
Anthopleura_dowii	876	793	83	40	38	954
Anthopleura_elegantissima	934	766	168	10	10	954
Antipathes_caribbeana	900	723	177	28	26	954
Aplysina_aerophoba	841	523	318	32	81	954
Apolemia_lanosa	794	756	38	60	100	954
Atolla_vanhoeffeni	627	600	27	140	187	954
Aulacoctena_acuminata	750	699	51	42	162	954
Aulactinia_veratra	878	810	68	39	37	954
Aulocalyx_serialis	733	500	233	86	135	954
Aurelia_aurita	912	676	236	13	29	954
Axinella_polypoides	874	679	195	34	46	954
Baikalospongia_bacillifera	860	686	174	23	71	954
Bargmannia_amoena	761	714	47	81	112	954
Bargmannia_elongata	903	809	94	10	41	954
Bargmannia_lata	616	569	47	126	212	954
Bathocyroe_fosteri	803	706	97	17	134	954
Bathyctena_chuni	747	687	60	55	152	954
Beroe_abyssicola	796	710	86	24	134	954
Beroe_forskalii	793	662	131	25	136	954
Beroe_ovata	794	583	211	28	132	954
Bolinopsis_microptera	802	759	43	15	137	954
Bolosoma_cyanae	671	549	122	96	187	954
Branchiostoma_floridae	562	499	63	250	142	954
Calliactis_polypus	916	797	119	16	22	954
Calvadosia_campanulata	807	707	100	86	61	954
Calvadosia_cruxmelitensis	910	754	156	10	34	954
Capsaspora_owczarzaki	685	567	118	28	241	954
Caulophacus_discohexaster	702	509	193	85	167	954
Cestum_veneris	795	715	80	21	138	954
Charistephane_fugiens	624	586	38	117	213	954
Chaunoplectella_NIWA126325	657	405	252	124	173	954
Chelophyes_appendiculata	866	613	253	39	49	954
Chironex_fleckeri	798	743	55	67	89	954
Chondrosia_reniformis	848	649	199	26	80	954
Chrysaora_fuscescens	583	570	13	190	181	954
Chuniphyes_multidentata	844	738	106	43	67	954
Cinachyrella_alloclada	906	488	418	32	16	954
Clathrina_coriacea	617	509	108	212	125	954
Clavularia_sp	783	716	67	102	69	954
Cliona_varians	858	622	236	44	52	954
Coelastrea_aspera	938	663	275	6	10	954
Condylactis_gigantea	929	723	206	8	17	954
Copula_sivickisi	911	305	606	16	27	954
Corallium_rubrum	913	757	156	8	33	954
Corbitella_NIWA126123	235	214	21	219	500	954
Corticium_candelabrum	879	673	206	25	50	954
Corynactis_australis	914	702	212	19	21	954
Craseoa_lathetica	896	758	138	17	41	954
Craterolophus_convolvulus	689	490	199	174	91	954
Crella_elegans	744	564	180	111	99	954
Ctenactis_echinata	813	775	38	99	42	954
Ctenophora_sp_BWRF2014	804	741	63	22	128	954
Ctenophora_sp_CWRF2014	805	721	84	20	129	954
Ctenophora_sp_KWRF2015	821	766	55	16	117	954
Ctenophora_sp_L1WRF2015	815	650	165	27	112	954
Ctenophora_sp_L2WRF2015	804	727	77	20	130	954
Ctenophora_sp_MWRF2015	796	723	73	33	125	954
Ctenophora_sp_N1WRF2014	801	725	76	21	132	954
Ctenophora_sp_N2WRF2014	804	720	84	17	133	954
Ctenophora_sp_PWRF2015	818	695	123	21	115	954
Ctenophora_sp_TWRF2014	784	716	68	26	144	954
Ctenophora_sp_WWRF2014	795	689	106	27	132	954
Ctenophora_sp_XWRF2015	794	721	73	23	137	954
Cyanea_capillata	682	564	118	169	103	954
Cyanea_nozakii	893	788	105	19	42	954
Cymbastella_concentrica	877	728	149	29	48	954
Cyphastrea_serailia	784	424	360	115	55	954
Danio_rerio	931	885	46	9	14	954
Daphnia_pulex	923	658	265	12	19	954
Deiopea_kaloktenota	793	724	69	21	140	954
Dendrilla_antarctica	794	638	156	74	86	954
Dendronephthya_gigantea	909	654	255	11	34	954
Dendrophyllia_sp	917	766	151	14	23	954
Desmophyes_sp	893	797	96	19	42	954
Dipsastraea_rotumana	932	685	247	10	12	954
Dryodora_glandiformis	789	709	80	25	140	954
Dysidea_avara	894	537	357	21	39	954
Edwardsiella_carnea	935	614	321	7	12	954
Entacmaea_quadricolor	927	739	188	9	18	954
Ephydatia_fluviatilis	863	592	271	11	80	954
Ephydatia_muelleri	851	636	215	34	69	954
Erenna_richardi	890	808	82	19	45	954
Eucidaris_tribuloides	326	300	26	253	375	954
Eunicea_calyculata	918	742	176	10	26	954
Eunicella_cavolini	558	512	46	217	179	954
Euplokamis_dunlapae	806	750	56	27	121	954
Eurete_NIWA126276	759	645	114	47	148	954
Farrea_occa	750	654	96	57	147	954
Farrea_similaris	186	160	26	194	574	954
Favites_acuticollis	928	753	175	10	16	954
Forskalia_asymmetrica	877	808	69	29	48	954
